material,temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
SrZrS3,800,n,1.9995439781383445e+20,-1.9995439781383445e+20,0.630155,-136.305,7.231e+18,105787000000000.0,134345132423.775,1.0159670464142097,-3.34974e-08,10.9793,0.48004,3.52905e-13
SrZrS3,800,p,9.998042844363919e+20,9.998042844363919e+20,0.554387,109.725,2.11268e+19,350269000000000.0,254357706314.25,0.5809425471606109,3.92603e-09,37.6542,1.7578,1.21031e-12
SrZrS3,900,n,2.0000068784018267e+20,-2.0000068784018267e+20,0.629295,-146.799,7.02825e+18,111209000000000.0,151458410792.82825,1.2257332564230001,-3.40817e-08,10.4966,0.55406,3.37391e-13
SrZrS3,900,p,9.99853803999462e+20,9.99853803999462e+20,0.555043,120.248,2.06134e+19,368916000000000.0,298061137374.55365,0.7271439125359114,4.13119e-09,37.395,2.04883,1.20198e-12
Rb2Cu2SnS4,300,n,9.98999951873624e+18,-9.98999951873624e+18,0.519024,-160.57500000000002,8.01727e+17,4685370000000.0,20671994038.989376,1.3236090664551172,-6.26261e-07,1.4367,0.0466615,4.76045e-14
Rb2Cu2SnS4,300,p,5.003921977951426e+20,5.003921977951426e+20,0.458454,199.674,4.1228e+18,15126100000000.0,164374825034.6928,3.260090010670817,1.15659e-08,96.6464,4.42433,3.20234e-12
Rb2Cu2SnS4,400,n,1.9985703042885194e+19,-1.9985703042885194e+19,0.520811,-145.411,1.45296e+18,11311600000000.0,30721907737.85616,1.0863859308269797,-3.17797e-07,2.06025,0.0990276,6.82655e-14
Rb2Cu2SnS4,400,p,9.992440921831176e+20,9.992440921831176e+20,0.457735,167.832,6.45893e+18,26424700000000.0,181932428936.20032,2.7539753175809043,5.64489e-09,137.416,6.20207,4.55324e-12
Rb2Cu2SnS4,500,n,1.9994358926585414e+19,-1.9994358926585414e+19,0.519885,-171.679,1.36847e+18,12997600000000.0,40333845557.23727,1.5515881992536031,-3.25494e-07,1.91228,0.159505,6.33628e-14
Rb2Cu2SnS4,500,p,1.0003116511728117e+21,1.0003116511728117e+21,0.458884,184.64999999999998,5.6277e+18,25807500000000.0,191879934743.24997,3.717522711290322,5.80801e-09,116.167,7.64102,3.84915e-12
Rb2Cu2SnS4,600,n,4.9983511399802585e+19,-4.9983511399802585e+19,0.523822,-135.636,2.81354e+18,33680400000000.0,51761045654.47583,0.9220979380495926,-1.39282e-07,3.59943,0.476153,1.19266e-13
Rb2Cu2SnS4,600,p,1.0006778616370518e+21,1.0006778616370518e+21,0.46016,198.989,4.96233e+18,25763700000000.0,196491505849.70193,4.576008240657249,6.00149e-09,100.334,9.04129,3.32454e-12
Rb2Cu2SnS4,700,n,4.995510234560698e+19,-4.995510234560698e+19,0.522511,-157.527,2.55453e+18,34685900000000.0,63390037952.40237,1.2792813958029532,-1.49253e-07,3.5291,0.678597,1.16935e-13
Rb2Cu2SnS4,700,p,9.994926714073291e+20,9.994926714073291e+20,0.461553,211.73399999999998,4.41984e+18,26082500000000.0,198147114455.63904,5.3178560382995235,6.21414e-09,88.0975,10.3425,2.91907e-12
Rb2Cu2SnS4,800,n,9.998056148949524e+19,-9.998056148949524e+19,0.525719,-137.388,3.94114e+18,60674000000000.0,74390840450.66017,0.9808595503927241,-8.56128e-08,6.22405,1.43555,2.06231e-13
Rb2Cu2SnS4,800,p,1.000045316289728e+21,1.000045316289728e+21,0.463031,222.938,3.98412e+18,26705300000000.0,198016149908.7173,5.93189067065241,6.41011e-09,78.5754,11.5269,2.60356e-12
Rb2Cu2SnS4,900,n,9.996813252828466e+19,-9.996813252828466e+19,0.524046,-155.62400000000002,3.53231e+18,57441100000000.0,85548413193.13858,1.3403916685757187,-9.38075e-08,6.06155,1.70515,2.00847e-13
Rb2Cu2SnS4,900,p,1.0004670131879438e+21,1.0004670131879438e+21,0.464591,232.888,3.62527e+18,27567100000000.0,196623118413.54688,6.419275388858175,6.58615e-09,70.8823,12.5904,2.34866e-12
